Serial Number,Application Date,Class Index,International Priority Date,By Consent Trademark Numbers,Description,Company Name,Agent Details
TM2025013214,25 April 2025,,,,"Fresh pizzas; Frozen pizza. NURUL FARHANA BINTI HUSIN TRADING AS NURUL FARHANA BINTI HUSIN; Pusat Aperantis Pertanian Sg Tong, 21500 Setiu, Terengganu, MALAYSIA CLASS : 30 TM2025013214 25 April 2025 Chilli sauce; Chilli seasonings; Vinegar, sauces and other condiments; Spices; Processed herbs; Seasonings; Salt;",Preserved garden herbs;,
TM2025013234,25 April 2025,30,,,"Chilli sauce; Chilli seasonings; Vinegar, sauces and other condiments; Spices; Processed herbs; Seasonings; Salt; Preserved garden herbs; Chilli paste for use as a seasoning; Chilli powder. SALBIAH BINTI NGAH TRADING AS IFFAH SUHAIMI FOOD INDUSTRY ; PT 5699, Jalan Kubang Bujuk, Kampung Kubang Tepak, 21200 Kuala Terengganu, Terengganu, MALAYSIA CLASS : 30 TM2025013234 25 April 2025 Mixes for pastry; Pastries; Pastry mixes; Puff pastry; Biscuits; Cookies; Pastry; Pastry shells; Shortcrust pastry; ",NURAA DELICIOUS LEGACY ;,
TM2025013237,25 April 2025,30,,,,,
TM2025013241,25 April 2025,30,,,,,
TM2025013255,25 April 2025,30,,,"Lasagne. NUR HIDAYAH BINTI ZAKARIA TRADING AS MNZ CAFE & MART ; Lot 5024 Kg. Pulau Kerengga, 21600 Marang, Terengganu, MALAYSIA INTELLECTUAL PROPERTY OFFICIAL JOURNAL BATCH 38/2025 TRADEMARK Sept. 25, 2025 Page 115 CLASS : 30 TM2025013255 25 April 2025 Frozen pastries; Frozen confectionery; Confectionery. ZAKARIA BIN ABDULLAH TRADING AS ZAKARIA BIN ABDULLAH ; Lot 1857, Kampung Kubang Parit, 20050 Kuala Terengganu, Terengganu, MALAYSIA CLASS : 30 TM2025013258 25 April 2025 Frozen pastries; Frozen",TRADING AS WAMAZ ENTERPRISE ;,
TM2025013258,25 April 2025,,,,"Frozen pastries; Frozen confectionery; Confectionery. ZAKARIA BIN ABDULLAH TRADING AS ZAKARIA BIN ABDULLAH ; Lot 1857, Kampung Kubang Parit, 20050 Kuala Terengganu, Terengganu, MALAYSIA CLASS : 30 TM2025013258 25 April 2025 Frozen pastries; Frozen confectionery. WAN MUHAMMAD 'ADLI BIN WAN MOHD RAZIN",TRADING AS WAMAZ ENTERPRISE ;,
TM2025013409,28 April 2025,30,,,No colour claim,"Mark transaltion: ""safe"";",
TM2025013534,29 April 2025,30,,,Confectionery; Biscuits; Cookies; Cakes. MARYAM DIYANA BINTI NASARUDIN TRADING AS,DYANS HOMEMADE BAKERY ;,
TM2025013530,29 April 2025,,,,,,
TM2025013524,29 April 2025,,,,Biscuits; Cookies; Cakes; Gluten-free cereal-based snack foods;,Rice-based snack foods;,
TM2025013923,30 April 2025,30,,,The trademark is limited to the colours as shown in the representation on the form of application. The translation of the arabic script of which the mark consist of is “camel step”. The transliteration of the arabic script of which the mark consist of is “khutwa jamal”.,Agave syrup [natural sweetener];,
TM2025014407,6 May 2025,,,,,Beverages made from coffee;,"Nur Atiqah Bt Samian, TAG Intellectual Property 
Consulting and Training Sdn. Bhd., E-08-09, Bangsar Trade 
Centre, Off Jalan Pantai Baharu, 59200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 117"
TM2025014451,7 May 2025,,,,,,
TM2025014520,7 May 2025,,,,Registration of this trade mark shall give no right to the exclusive use of the word “bakery”. CLASS 30,Flour and preparations made from cereals;,"Ooi Yeong Boon, Exy Intellectual Property Sdn. 
Bhd., No. 2928 & 2929, Jalan PJS 3/1, Bandar Petaling Jaya 
Selatan, 46000 Petaling Jaya, Selangor"
TM2025014918,9 May 2025,,,,,,"Teh Voon How, Gordian Consultancy Sdn. Bhd. 
B01-A-09,  Menara 2, KL Eco City, No 3, Jalan Bangsar, 
59200 Kuala Lumpur"
TM2025015057,9 May 2025,,,,,"Coffee, tea, cocoa and artificial coffee;","Lim Hui Qi, Lim Chong Chuan & Associates Sdn 
Bhd 3-1, Jalan 3/116D, Kuchai Entrepreneurs' Park Off Jalan 
Kuchai Lama, 58200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 119 
Lee Kum Kee Heritage"
TM2025015059,9 May 2025,,,,,"Coffee, tea, cocoa and artificial coffee;","Lee Lin Li, Tay & Partners 6th Floor, Plaza See Hoy 
Chan, Jalan Raja Chulan, 50200 Kuala Lumpur 
Lee Kum Kee Classic"
TM2025025737,31 July 2025,,,,,,"Lee Lin Li, Tay & Partners 6th Floor, Plaza See Hoy 
Chan, Jalan Raja Chulan, 50200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 120"
TM2020017011,7 August 2020,30,,,"Registration of this trade mark shall give no right to the exclusive use of the word ""cameron"". Fresh vegetables; Fresh and unprocessed fruits, vegetables, nuts and seeds;",Fresh edible root vegetables;,"Raidah Salwa Binti Mat Redzuan, Chambers Of 
Raidah Salwa, T3-16-12, 3 Towers, Jalan Ampang, 50450 
Ampang, Kuala Lumpur"
TM2022014457,13 June 2022,,,,Pet food; Cat food;,Foodstuffs and beverages for animals;,"Foo Kit Sin, DLAWIP Associate Plt. 61, Jalan Lim 
Bo Seng, 30300 Ipoh, Perak"
TM2023009150,29 March 2023,,,,"Proceeding under Subsection 17(5) of TMA 2019 Advertisement of a series of two trade marks The second trademark in the series limited to the colours as shown in the representation on the form of application. The transliteration and translation of the chinese characters appearing in the mark is ""huan"", ""yu"", ""chong wu"" meaning ""loop"", ""universe"", ""pet"" respectively. Beverages for pets;",Edible organic pet treats for cats;,"Aravind A/L Gangadaran, Primus IP Sdn. Bhd.  
13A-01, Oval Damansara, Jalan Damansara, Taman Tun Dr 
Ismail, 60000 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 121"
TM2025004801,18 February 2025,,,,,"Mark translation: Race , outside,gold, dragon;","Cheah Jo Yi, Suite 33-01, 33rd Floor, Menara Keck 
Seng, 203, Jalan Bukit Bintang, 55100 Kuala Lumpur"
TM2025008159,17 March 2025,,,,It is a condition of registration of that word(s) appearing in the mark shall not be used as a varietal name.,"Mark translation: ""wei"" means follow/abide by;","Vannesse Lee Pei Eng, Drexworld Management 
PLT; No.1-9-13, Block Chempaka, Taman Desaminium, 
Jalan Flora, 43300 Seri Kembangan, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 122"
TM2025013433,28 April 2025,,,,Food for animals.,NEOVIA NUTRIÇÃO E SAÚDE ANIMAL LTDA ;,"Eunice Chan Wei Lynn, Aaron Sankar & Co., Suite 
K.2.13, Level 2, Block K, Solaris Mont Kiara, Jalan Solaris, 
50480 Kuala Lumpur 
TOTAL CATLICIOUS"
TM2023009590,30 March 2023,31,,,,Beverages consisting of a blend of fruit and vegetable juices;,"Patrick A/L M.G Mirandah, Mirandah Asia 
(Malaysia) Sdn. Bhd. Suite 3B-19-3, Level 19, Block 3B, 
Plaza Sentral, Jalan Stesen Sentral 5, 50470 Kuala Lumpur"
TM2025007396,11 March 2025,,,,,Mark translation: Grand;,"Cheah Jo Yi, Suite 33-01, 33rd Floor, Menara Keck 
Seng, 203, Jalan Bukit Bintang, 55100 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 123"
TM2025007399,11 March 2025,,,,,Mark translation: Grand;,"Quality Oracle Sdn. Bhd., c/o Quality Oracle Sdn. 
Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 
7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor"
TM2025007400,11 March 2025,,,,,Mark translation: Grand;,"QUALITY ORACLE SDN. BHD., c/o Quality Oracle 
Sdn. Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan 
PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 124"
TM2025007401,11 March 2025,,,,,Mark translation: Grand;,"Quality Oracle Sdn. Bhd., c/o Quality Oracle Sdn. 
Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 
7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor"
TM2025010073,3 April 2025,,,,,Fruit-based beverages;,"QUALITY ORACLE SDN. BHD., c/o Quality Oracle 
Sdn. Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan 
PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 125 
RabenWhite"
TM2025010401,4 April 2025,,,,Beer;,Mineral water [beverages];,"Gow Jia Jian, Bangunan Wezmart 2-25, The Cube, 
Jalan Puteri 7/15, Bandar Puteri Puchong, 47100 Puchong, 
Selangor 
Sparkora BBQ"
TM2025012451,21 April 2025,,,,The trademark is limited to the colours as shown in the representation on the form of application. Mark translation: The combination of the chinese characters appearing in the mark has no meaning. Mark transliteration: Jin ru yi Beer; Beverages consisting of a blend of fruit and vegetable juices; Drinking water;,Fruit beverages and fruit juices;,"Quality Oracle Sdn. Bhd., c/o Quality Oracle Sdn. 
Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 
7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor"
TM2025013924,30 April 2025,,,,The trademark is limited to the colours as shown in the representation on the form of application. The translation of the arabic script of which the mark consist of is “camel step”. The transliteration of the arabic script of which the mark consist of is “khutwa jamal”.,"Aperitifs, non-alcoholic;","Md. Noor Bin Rahmat, Minor IP Management And 
Consultancy; 7C-3, 7th Floor, Wisma Pahlawan, Jalan Sultan 
Sulaiman, 50000 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 126"
TM2025014425,6 May 2025,,,,Advertisement of a series of three trade marks,Mineral and aerated waters and other non-alcoholic drinks;,"Nur Atiqah Bt Samian, TAG Intellectual Property 
Consulting and Training Sdn. Bhd., E-08-09, Bangsar Trade 
Centre, Off Jalan Pantai Baharu, 59200 Kuala Lumpur"
TM2025011761,16 April 2025,,,,CLASS 34,E-cigarettes and oral vaporizers for smokers;,"SHOOK LIN & BOK, 20th Floor, AmBank Group 
Building, 55 Jalan Raja Chulan, 50200 ,  50200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 127"
TM2025012021,17 April 2025,,,,,Electronic cigarettes;,
TM2025014182,2 May 2025,,,,Tobacco; Cigarettes; Cigars; Snuff; Cigarette papers; Tobacco pipes; Cigarette filters; Cigarette cases (not of precious metal); Tobacco pouches; Cigarette lighters (not of precious metal); Matches;,Pipe cleaners for tobacco pipes;,"Yong Bo Yee, BO1-A-9-05, Menara 2, KL Eco City, 3, Jln Bangsar, 59200 Kuala Lumpur 
DIVE"
TM2025014180,2 May 2025,,,,,Pipe cleaners for tobacco pipes;,"Linda Wang Chaw Ling, LindaWang, Su & Boo, 
Level 7, Menara Milenium, Jalan Damanlela, Pusat Bandar 
Damansara, 50490 Kuala Lumpur 
CONDOR"
TM2025014179,2 May 2025,,,,It is a condition of registration that the mark shall be used only in relation to goods with both/all the applicants are connected in the course of trade,Electronic cigarettes;,"Linda Wang Chaw Ling, LindaWang, Su & Boo, 
Level 7, Menara Milenium, Jalan Damanlela, Pusat Bandar 
Damansara, 50490 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 129 
MARVIK"
TM2025014463,7 May 2025,,,,,Cartomizers for electronic cigarettes;,"Yap Chun Sian, No.28, Jalan Putra Permai 9, 
Taman Equine, Seri Kembangan 43300 Selangor"
TM2025014467,7 May 2025,,,,,Cartomizers for electronic cigarettes;,"Chong Yu Bin, PRIMUS IP Sdn Bhd,  13A-01, Oval 
Damansara, Jalan Damansara, Taman Tun Dr Ismail, 60000 
Kuala Lumpur"
TM2025015064,9 May 2025,,,,Cigarettes;,"Tobacco, raw or manufactured;","Chong Yu Bin, PRIMUS IP Sdn Bhd,  13A-01, Oval 
Damansara, Jalan Damansara, Taman Tun Dr Ismail, 60000 
Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 130 
GLO INFUSE"
TM2020014037,13 July 2020,,,,Online retail store services featuring foodstuffs.,HGMC HOLDING SDN BHD ;,"Wong & Partners, Level 21, The Gardens South 
Tower, Mid Valley City,Lingkaran Syed Putra, 59200 Kuala 
Lumpur"
TM2020016454,4 August 2020,,,,Registration of this trade mark shall give no right to the exclusive use of the word ‘paris'.,Retail or wholesale services for soaps;,"Wong & Partners, Level 21, The Gardens South 
Tower, Mid Valley City,Lingkaran Syed Putra, 59200 Kuala 
Lumpur"
TM2020021131,18 September 2020,,,,Retail services provided by convenience stores;,Computerized online retail store services;,"Patrick A/L M.G Mirandah, Mirandah Asia (Malaysia) Sdn. Bhd. Suite 3B-19-3, Level 19, 
Block 3B, Plaza Sentral, Jalan Stesen Sentral 5, 50470 Kuala Lumpur 
FLOURISH"
TM2020027962,24 November 2020,,,,No colour claim,Online retail store services featuring dietary supplements;,"Chung Chee Yien, NBS Intellectual Sdn. Bhd. I-3-
3, Block I, Setiawalk, Persiaran Wawasan Pusat Bandar 
Puchong, 47160 Puchong, Selangor"
TM2021000169,5 January 2021,,,,"Retail store services and online retail store services in the sale of apparel, bags, eyewear, sporting goods, perfumes, body oils, body lotions, watches.",BODY GLOVE IP HOLDINGS LP ;,"Tee Lin Yik, Tee IP Sdn Bhd,  A-23-01, Penthouse Office Ekocheras Office Suites, 693, Jalan 
Cheras, Batu 5, 56000 Cheras, Kuala Lumpur"
TM2021013269,7 May 2021,35,"11 November 2020,",,"International priority date claimed : 11 November 2020, Jamaica Business administration of pharmacy reimbursement programs and services; Business administration of discount pharmacy and pharmacy loyalty programs; Online retail pharmacy services; Online retail store services in the fields of medical, drugstore, and general merchandise; Retail services for pharmaceutical preparations; Mail order pharmacy services;",Providing online prescription pricing information;,"Indran A/L Shanmuganathan, Shearn Delamore & 
Co. 7th. Floor, Wisma Hamzah-Kwong Hing No. 1, Leboh 
Ampang, 50100 Kuala Lumpur"
TM2022002310,26 January 2022,,,,The trade mark is limited to the colours as shown in the representation on the form of application.,Retail services provided by convenience stores;,"Chai Shwu Pyng, Amica IP Services (Malaysia) 
Sdn Bhd, 164B-1, 1st Floor, Wisma Sekiong, Jalan Ngee 
Heng, 80000 Johor Bahru, Johor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 133"
TM2022004279,17 February 2022,,,,"Advertisement of a series of five trade marks The second, third, fourth and fifth trade marks in the series are limited to the colours as shown in the representation on the form of application.",On-line retail store services featuring vehicles;,"Aravind A/L Gangadaran, Primus IP Sdn. Bhd.  
13A-01, Oval Damansara, Jalan Damansara, Taman Tun Dr 
Ismail, 60000 Kuala Lumpur"
TM2022011258,5 May 2022,,,,CLASS 35 Rental of office machinery and equipment. CLASS 37,Repair of industrial machinery;,"Leela Devi A/P Baskaran, Skrine Unit No. 50-8-1, 
8th Floor, Wisma UOA Damansara 50 Jalan Dungun, 
Damansara Heights, 50490 Kuala Lumpur"
TM2022025448,28 September 2022,37,,,The trademark is limited to the colours as shown in the representation on the form of application. Advertising;,Advertising services provided via the internet;,"Yap Chun Sian, No.28, Jalan Putra Permai 9, 
Taman Equine, 43300 Seri Kembangan, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 134"
TM2022026411,6 October 2022,,,,Business Project Management Services For Construction Projects; Advertising; Presentation Of Goods On,"Communication Media, For Retail Purposes;","Aravind A/L Gangadaran, Primus IP Sdn. Bhd.  
13A-01, Oval Damansara, Jalan Damansara, Taman Tun Dr 
Ismail, 60000 Kuala Lumpur"
TM2022028969,1 November 2022,,,,"Mark translation: ""hidden"", ""house"". Mark transliteration: ""cang"", ""wu"". Organizing and conducting trade fairs, events and exhibitions for commercial or advertising purposes; Conducting, arranging and organizing trade shows and trade fairs for commercial and advertising purposes; Arranging and conducting of trade show exhibitions; Organization of trade fairs;",On-line retail services relating to handbags;,"Ooi Yeong Boon, Exy Intellectual Property Sdn. 
Bhd., No. 2928 & 2929, Jalan PJS 3/1, Bandar Petaling Jaya 
Selatan, Petaling Jaya 46000 Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 135"
TM2022031159,17 November 2022,,,,,Retail services provided by grocery stores;,"Wong Hui Shan, 355, Jalan Merpati 11, Taman Sri 
Kamban, 70100 Seremban, Negeri Sembilan"
TM2023005710,5 April 2023,,,,"Registration of this trade mark shall give no right to the exclusive use of the word ""eco"" and ""value"". Advertising and marketing services provided by means of social media; Advertising of business web sites;",Demonstration of goods and services by electronic means;,"Loh Yen Pheng, Intellect Worldwide Sdn Bhd, 
IPeople House, 7A Clove Hall Road, 10050 Georgetown, 
Pulau Pinang 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 136"
TM2023011887,27 April 2023,,,,,,"Yip Jiun Hann, TRADEMARK2U Sdn Bhd No. 1, 
Block C, Jalan Dataran SD 1 Dataran SD PJU 9, Bandar Sri 
Damansara, 52200 Kuala Lumpur 
ULTRA EM"
TM2024022493,29 July 2024,,,,CLASS 35 Advertising; Publicity; Marketing; Arranging and conducting of commercial events;,Rental of advertising space;,"Chua Por Yean, Ian Intellectual Property Sdn. Bhd., 
Block A-3-5 Plaza Arkadia, No. 3, Jalan Intisari Perdana, 
Desa Parkcity, 52200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 137"
TM2024040090,18 December 2024,,"22 October 2024,",,,,"Khoo Boon Chye, Ghazi & Lim 19th Floor, Plaza 
MWE No. 8, Lebuh Farquhar, 10200 Georgetown, Pulau 
Pinang 
SERIES BY MARRIOTT"
TM2025007423,11 March 2025,,,,Advertisement of a series of four trade marks,Advertising services relating to pharmaceutical products;,"Indran A/L Shanmuganathan, Shearn Delamore & 
Co. 7th. Floor, Wisma Hamzah-Kwong Hing No. 1, Leboh 
Ampang, 50100 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 138"
TM2025010064,2 April 2025,,,,,Online advertising on a computer network;,"Yong Bo Yee, BO1-A-9-05, Menara 2, KL Eco City, 3, Jln Bangsar, 59200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 139"
TM2025010402,4 April 2025,,,,Advertising; Market studies;,Compilation of statistics;,"Liang Pey Huey , C/O IPON9 SDN. BHD., 7A Clove 
Hall Road, 10050 Georgetown, Pulau Pinang 
Sparkora BBQ"
TM2025010808,9 April 2025,,,,CLASS 35,Advertising planning services;,"Quality Oracle Sdn. Bhd., c/o Quality Oracle Sdn. 
Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 
7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor"
TM2025012022,17 April 2025,,,,Registration of this trade mark shall give no right to the exclusive use of the words ''vape & florist”. Online retail store services featuring articles for use with tobacco;,Online retail store services featuring tobacco;,"Mohana Murali A/L Kodivel, Adastra Intellectual Property Sdn Bhd, A-39-10, Penthouse, 
Menara UOA Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000 Kuala Lumpur"
TM2025012324,18 April 2025,,,,,Retail services in relation to educational supplies;,"Yong Bo Yee, BO1-A-9-05, Menara 2, KL Eco City, 
3, Jln Bangsar, 59200 Kuala Lumpur"
TM2025012531,21 April 2025,,,,No colour claim,Dissemination of advertising and promotional materials;,"Brenda Lee Wen Yi, D-25-03, Menara Suez Cap 1, 
KL Gateway, No. 2, Jalan Kerinchi, 59200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 143"
TM2025012464,21 April 2025,,,,Registration of this trade mark shall give no right to the exclusive use of the word ‘print’. CLASS 35,Electronic publication of printed matter for advertising purposes;,"Flexly Consulting Sdn Bhd, No. 9-2, Jalan USJ 
1/1A, Taman Subang Mewah, 47620 Subang Jaya, Selangor"
TM2025013385,28 April 2025,,,,The trademark is limited to the colours as shown in the representation on the form of application. CLASS 35,Auctioning of property;,"Chuang Vi Nie, 4, Jalan Bunga Cempaka 5, Taman Mawar, 56100 Cheras, Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 144"
TM2025013398,28 April 2025,,,,Advertising; Business management of wholesale and retail outlets;,Demonstration of goods;,"Teh Voon How, Gordian Consultancy Sdn. Bhd. 
B01-A-09,  Menara 2, KL Eco City, No 3, Jalan Bangsar, 
59200 Kuala Lumpur"
TM2025013413,28 April 2025,,,,Registration of this trade mark shall give no right to the exclusive use of the word ‘smart’.,On-line retail store services featuring smartphones;,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3-
10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar 
South, 59200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 145"
TM2025013420,28 April 2025,,,,"Presentation of goods on communication media, for retail purposes; Advertising; Online advertising on a computer network; Commercial administration of the licensing of the goods and services of others;",Sales promotion for others;,"Chuang Vi Nie, 4, Jalan Bunga Cempaka 5, Taman 
Mawar, 56100 Cheras, Kuala Lumpur"
TM2025013706,29 April 2025,,,,,Retail or wholesale services for stationery;,"Quality Oracle Sdn. Bhd., c/o Quality Oracle Sdn. 
Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 
7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor 
BONDMAT"
TM2025014121,2 May 2025,,,,Advertisement of a series of two trade marks The first trademark in the series is limited to the colours as shown in the representation on the form of application.,Business administration;,"Ooi Yeong Boon, Exy Intellectual Property Sdn. 
Bhd., No. 2928 & 2929, Jalan PJS 3/1, Bandar Petaling Jaya 
Selatan, 46000 Petaling Jaya, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 146"
TM2025014429,6 May 2025,,,,,Retail Store Services For Computer Hardware;,"Low Chee Keong, IPMAN Global Intellect Sdn. Bhd. No. 3A-08, Hab Citrine, Persiaran Medini 
3, Bandar Medini Iskandar, 79250 Iskandar Puteri, Johor"
TM2025014452,7 May 2025,,,,"Mark translation: “thunder”, “god”. The combination of chinese character does not render any meaning together Mark transliteration: “lei, shen”",Online retail store services featuring foodstuffs;,"Thay Pee Ywai, NBS Intelectual Sdn. Bhd., I-3-3, 
Block I, Persiaran Wawasan, Pusat Bandar Puchong, 47160 
Puchong, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 147"
TM2025014464,7 May 2025,,,,,Advertising via electronic media;,"Ooi Yeong Boon, Exy Intellectual Property Sdn. 
Bhd., No. 2928 & 2929, Jalan PJS 3/1, Bandar Petaling Jaya 
Selatan, 46000 Petaling Jaya, Selangor"
TM2025014468,7 May 2025,,,,,Advertising via electronic media;,"Chong Yu Bin, PRIMUS IP Sdn Bhd,  13A-01, Oval 
Damansara, Jalan Damansara, Taman Tun Dr Ismail, 60000 
Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 148"
TM2025014780,8 May 2025,,,,"Mark translation: ""iron"" Mark transliteration: ""tetsu""",Retail services for metal hardware;,"Chong Yu Bin, PRIMUS IP Sdn Bhd,  13A-01, Oval 
Damansara, Jalan Damansara, Taman Tun Dr Ismail, 60000 
Kuala Lumpur"
TM2025015038,9 May 2025,,,,,"Mark translaiteration: ""measure"";","Yip Jiun Hann, TRADEMARK2U Sdn Bhd No. 1, 
Block C, Jalan Dataran SD 1 Dataran SD PJU 9, Bandar Sri 
Damansara, 52200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 149"
TM2025015232,13 May 2025,,,2015060273,By consent of the registered proprietor of the trade mark registration no: 2015060273,Administration of customer loyalty programs;,"Quality Oracle Sdn. Bhd., c/o Quality Oracle Sdn. 
Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 
7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor"
TM2025015379,14 May 2025,,,,,On-line retail services for products via the web;,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3-
10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar 
South, 59200 Kuala Lumpur"
TM2025027773,14 August 2025,,,,Proceeding Under Subsection 17(5) of TMA 2019 No colour claim,Advertising of commercial or residential real estate;,"Yip Jiun Hann, TRADEMARK2U Sdn Bhd No. 1, 
Block C, Jalan Dataran SD 1 Dataran SD PJU 9, Bandar Sri 
Damansara, 52200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 150"
TM2021004671,22 February 2021,,,"2011015394,","By consent of the registered proprietor of the trade mark no: 2011015394, tm2020029154 & 2016066227.",Rental of real estate;,"Neoh Kwok Khiang (Alex), Intellect Worldwide (KL) 
Sdn Bhd; Suite 13A-04, Wisma MCA, 163, Jalan Ampang, 
50450 Kuala Lumpur"
TM2025001421,14 January 2025,,,,"The trademark is limited to the colours as shown in the representation on the form of application. Disclaimer: the word ""remit"".",Administration of financial affairs;,"Lok Choon Hong, Pintas Consulting Group Sdn. 
Bhd. No. 19, Jalan SS1/36, 47300 Petaling Jaya, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 151"
TM2022004280,17 February 2022,,,,"Advertisement of a series of five trade marks The second, third, fourth and fifth trade marks in the series are limited to the colours as shown in the representation on the form of application.",Motor vehicle maintenance and repair;,"Norhana Binti Ramli, Hana Ramli & Co, Unit G33A, 
Block 5, Laman Seri Business Park, Seksyen 13, Shah Alam 
40100 Selangor"
