Class Index,Serial Number,Application Date,International Priority Date,By Consent Trademark Numbers,Description,Company Name,Agent Details
,TM2025014461,7 May 2025,,,"Batteries for electronic devices that are used for heating tobacco; Usb chargers for electronic devices that are used for heating tobacco; Car chargers for devices that are used for heating tobacco; Application software for smartphones; Downloadable software applications [apps]. NX HOLDINGS BERHAD; 9-B3 City Garden Commercial Centre, Taman Nirwana Ampang, 68000 Ampang, Selangor, MALAYSIA Damansara, Jalan Damansara, Taman Tun Dr Ismail, 60000 Kuala Lumpur",,"Chong Yu Bin, PRIMUS IP Sdn Bhd,  13A-01, Oval Damansara, Jalan Damansara, Taman Tun Dr Ismail, 60000"
,TM2025014465,7 May 2025,,,"Batteries for electronic devices that are used for heating tobacco; Usb chargers for electronic devices that are used for heating tobacco; Car chargers for devices that are used for heating tobacco; Application software for smartphones; Downloadable software applications [apps]. NX HOLDINGS BERHAD; 9-B3 City Garden Commercial Centre, Taman Nirwana Ampang, 68000 Ampang, Selangor, MALAYSIA Damansara, Jalan Damansara, Taman Tun Dr Ismail, 60000 Kuala Lumpur Sanyun",,"Chong Yu Bin, PRIMUS IP Sdn Bhd,  13A-01, Oval Damansara, Jalan Damansara, Taman Tun Dr Ismail, 60000"
,TM2025014799,8 May 2025,,,"Loudspeakers; Audio speakers; Speakers; Boom boxes; Loudspeaker systems; Soundbars; Audio equipment; Audio- and video-receivers; Audio recorders; Wireless speakers; Audiovisual apparatus. LI XIAOYANG; 2201,1A Block,Hongfa Junyu Garden,Guangshen Rd., Songgang, Baoan Dist., Shenzhen, Guangdong, 518000, CHINA PLT; No.1-9-13, Block Chempaka, Taman Desaminium, Jalan Flora, 43300 Seri Kembangan, Selangor",,"Vannesse Lee Pei Eng, Drexworld Management PLT; No.1-9-13, Block Chempaka, Taman Desaminium, Jalan Flora, 43300 Seri Kembangan, Selangor"
,TM2025014835,8 May 2025,,,"Distribution boxes [electricity]; Push buttons for bells; Branch boxes [electricity]; Connectors [electricity]; Junction boxes [electricity]; Switchboards; Switches, electric; Current rectifiers; Circuit breakers; Dynamometers; Cables, electric; Couplings, electric; Relays, electric; Wires, electric; Covers for electric outlets; Electric sockets; Wire connectors [electricity]; Terminals [electricity]; Connections for electric lines; Collectors, electric. Dong 'ao Village, Liushi Town, Yueqing City, Zhejiang Province, CHINA 43300 Seri Kembangan, Selangor","YUEQING PENGBO ELECTRICAL APPLIANCE CO., LTD;","Lim Yong Lin, 22A，Jalan Damai Perdana 16/1A, 43300 Seri Kembangan, Selangor"
,TM2025014838,8 May 2025,,,"Covers for tablet computers; Wires, electric; Lanyards for cell phones; Cases for smartphones; Protective films adapted for smartphones; In-car telephone handset cradles; Video baby monitors; Humanoid robots having communication and learning functions for assisting and entertaining people; Smart speakers; Mobile phone chargers. BOOSTECH LIMITED ; RM 2209, 22/F, 655 Nathan Road, Mong Kok, HONG KONG Property Sdn Bhd, A-39-10, Penthouse, Menara UOA Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar 59000 Kuala Lumpur",,"Mohana Murali A/L Kodivel, Adastra Intellectual Property Sdn Bhd, A-39-10, Penthouse, Menara UOA Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar 59000"
,TM2025015250,13 May 2025,,,"application. Network access server hardware; Computer networking hardware; VPN (virtual private network) hardware; WAN (wide area network) hardware; BAN (body area network) hardware; LAN (local area network) hardware; Computer hardware, namely, wireless network extenders; Computer hardware and recorded software for setting up and configuring local area networks sold as a unit; Telecommunications and data networking hardware, namely, devices for transporting and aggregating voice, data, and video communications across multiple network infrastructures and communications protocols; Network routers; Wireless routers; Gateway routers; Computer network routers; Routers with embedded network configuration software; Downloadable network access server operating software; Downloadable network video recording software for IP (Internet Protocol) video surveillance; Downloadable communications software for connecting computer network users; Downloadable computer networking software; Downloadable LAN (local area network) operating software; Downloadable VPN (virtual private network) operating software; Downloadable WAN (wide area network) operating software; Downloadable computer software for administration of computer networks. HANGZHOU HIKVISION DIGITAL TECHNOLOGY CO., LTD ; No. 555 Qianmo Road, Binjiang District, Hangzhou, 310051, CHINA Leboh Ampang, 50100 Kuala Lumpur",,"Loi Choi Yoke, C/O Shearn Delamore & Co. 7th Floor, Wisma Hamzah-Kwong Hing, No. 1 Leboh Ampang, 50100 Kuala Lumpur"
,TM2025015230,13 May 2025,,,"registration no: 2015060273 Computer application software featuring games and gaming; Computer games of chance; Computer game software for metaverse environments; Computer gaming software; Computer programs for data analysis; Computer software for the administration of on-line games and games of chance; Computer software for use as an application programming interface [API]; Downloadable computer games; Downloadable electronic publications relating to gaming; Games software; Gaming software that generates or displays the outcomes of bets made on gaming machines; System software and system support software. TAN SING KEE TRADING AS TSK OL ENTERPRISE ; No. 75, Kampung Baru Kalumpang, Hulu Selangor, 44100 Kerling, Selangor, MALAYSIA 10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur",,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3- 10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur"
,TM2021022529,13 August 2021,,,"Protective gloves for medical use; Gloves for medical purposes; Gloves for massage. No.300, Block 13, Shuang Qiao Road, Pudong New area, 201208 Shanghai, CHINA Metro 1, Metro Prima, 52100 Kepong, Kuala Lumpur Safe AQ","ENCOMPASS MEDICAL SUPPLIES, INC LIMITED ;","HAU FWI SAN, B-1-11, Plaza Metro Prima, Jalan Metro 1, Metro Prima, 52100 Kepong, Kuala Lumpur"
,TM2021026279,22 September 2021,,,"Apparatus for use in medical analysis; Blood glucose meters; Physiotherapy apparatus; Testing apparatus for medical purposes; Apparatus for taking blood samples; Blood collection bags for medical purposes; Medical apparatus and instruments; Blood testing apparatus; Sphygmomanometers; Capillary tubes for blood. SINOCARE INC. ; NO. 265 Guyuan Road, Hi-tech Zone, Changsha, Hunan Province, 410205, CHINA Jalan Puteri 7/15, Bandar Puteri, 47100 Puchong, Selangor",,"Gow Jia Jian, Bangunan Wezmart 2-25, The Cube, Jalan Puteri 7/15, Bandar Puteri, 47100 Puchong, Selangor"
,TM2025005459,24 February 2025,,,"No colour claim Disposable syringes; Disposable steam-heated patches for medical purposes; Disposable steam-heated patches for medical use; Disposable surgical caps; Disposable surgical gowns; Disposable surgical masks; Disposable underpads; Disposable surgical shoe covers; Disposable specula; Disposable sanitary masks for protection against viral infection; Disposable protective clothing for medical purposes; Disposable protective footwear for medical purposes; Disposable protective gloves for medical purposes; Disposable protective gloves for medical use; Disposable protective headgear for medical purposes; Disposable medical devices for treating constipation; Disposable medical syringe needles; Disposable gowns for doctors especially for operating rooms; Disposable gowns for doctors specially adapted for operating rooms; Disposable gloves for medical purposes; Disposable gloves for medical use; Disposable gloves for surgical purposes; Disposable gloves for surgical use; Disposable hypodermic syringes for medical use; Disposable needles for hypodermic syringes; Disposable steam-heated masks for medical purposes; Disposable steam-heated masks for medical use; Sterile disposable oxygen humidifiers and nebulizers for respiratory therapy; Sterile sheets, surgical; Sterile single-use hypodermic syringes; Sterile surgical sheets; Surgical sterile sheets; Disposable hypodermic syringes for medical purposes. FELCO LIFESCIENCE SDN. BHD. ; 59-G, Jalan Sepah Puteri 5/1B, Seksyen 5, Kota Damansara, 47810 Petaling Jaya, Selangor, MALAYSIA",,
,TM2025013401,28 April 2025,,,"Surgical apparatus and instruments; Electric massage apparatus for household purposes; Esthetic massage apparatus; Electric massage guns; Massage apparatus; Vibromassage apparatus; Foot massagers; Eye massage apparatus; Massage apparatus for personal use; Physical exercise apparatus for medical purposes; Body rehabilitation apparatus for medical purposes; Body fat monitors; Acupuncture equipment; Nasal irrigators, electric; Skin moisture analysers for medical purposes; Wearable monitors used to measure biometric data for medical purposes; Abdominal belts; Hypogastric belts; Orthopaedic articles; Abdominal pads; Physiotherapy apparatus; Lasers for skin treatment; Gum massagers for babies. SHENZHEN ULUCKY HEALTH CO.,LTD ; 2705-2706, Building 4, Tian'an Yungu Industrial Park Phase II, Gangtou Community, Bantian Street, Longgang District, Shenzhen, Guangdong, CHINA BU8, No. 11, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor",,"Quality Oracle Sdn. Bhd., L5-07, Level 5, Wisma BU8, No. 11, Lebuh Bandar Utama,  Bandar Utama, 47800 Petaling Jaya, Selangor"
,TM2025014786,8 May 2025,,,"Massage apparatus; Facial aesthetic treatment apparatus using ultrasonic waves; Orthopedic articles; Cushions for medical purposes; Physiotherapy apparatus; Disposable steam-heated masks for therapeutic purposes; Sanitary masks; Dental apparatus, electric; Babies' bottles; Esthetic massage apparatus. WANWANG INC ; 5030 Boardwalk Dr Suite 818 Colorado Springs NY, 80919, UNITED STATES OF AMERICA 43300 Seri Kembangan, Selangor",,"Lim Yong Lin, 22A，Jalan Damai Perdana 16/1A, 43300 Seri Kembangan, Selangor"
,TM2025014816,8 May 2025,,,"No colour claim Hearing protection earmuffs; Ear plugs for noise reduction; Protective suits for medical use. CHIN LAI HARDWARE SDN BHD ; Lot 11, Jalan Perusahaan 2, Kawasan Perusahaan Batu Caves, 68100 Batu Caves Selangor, MALAYSIA",,
,TM2025009593,27 March 2025,,,"Electric flashlights; Flashlights [hand-held lamps]; LED flashlights; Head torches; Headlights for vehicles; LED Lights. BIN ZHAO ; Meixian Youth Football Team Dormitory, Meijiang District, Meizhou, Guangdong, 514000, CHINA 10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur",,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3- 10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur"
,TM2025012230,18 April 2025,,,"representation on the form of application. Installation and apparatus for lighting, electric lamp, ceiling lamp, ceiling fan, lamp, light bulbs, electric for lighting, lamp fitting, lamp glass led bulb, led downlight, ventilating fan, stand fan, table fan, fluorescent light fitting, fluorescent lamp, lamp bulb. AVANCE ELECTRICAL SDN. BHD. ; AL-294-A1, Jalan Industri 5, Kampung Baru Sungai Buloh, Seksyen U19, 47000 Sungai Buloh, Selangor, MALAYSIA",,
,TM2025013384,28 April 2025,,,"Range hoods; Bathtubs; Electric ovens; Gas cooktops; Induction cookers; Microwave ovens [cooking apparatus]; Refrigerated display cabinets; Kitchen ranges [ovens]; Kitchen sinks; Shower screens. EMPAVA APPLIANCES INC ; 458 Parriott Place City Of Industry, CA 91745, UNITED STATES OF AMERICA PLT; No.1-9-13, Block Chempaka, Taman Desaminium, Jalan Flora, 43300 Seri Kembangan, Selangor",,"Vannesse Lee Pei Eng, Drexworld Management PLT; No.1-9-13, Block Chempaka, Taman Desaminium, Jalan Flora, 43300 Seri Kembangan, Selangor"
,TM2025013387,28 April 2025,,,"Electric fans for personal use; Chimney blowers; Ventilation hoods; Fans [parts of air-conditioning installations]; Ventilation [air-conditioning] installations for vehicles; Fans [air-conditioning]; Cooling appliances and installations; Air cooling apparatus; Radiators [heating]; Dampers [heating]. Rm1205, Huasheng Commercial Bldg, NO.39 Huasheng Rd Dalang St, Longhua Dist, Shenzhen Guangdong, CHINA 11, Plaza Metro Prima, Jalan Metro 1, Metro Prima, 52100 Kepong, Kuala Lumpur","SHANTONGREN TECHNOLOGY (SHENZHEN) CO., LTD ;","Gan Wai Kwang, Tiger Intellectual Sdn Bhd; B-1- 11, Plaza Metro Prima, Jalan Metro 1, Metro Prima, 52100 Kepong, Kuala Lumpur"
,TM2025013404,28 April 2025,,,"Radiators, electric; USB-powered hand warmers; Electric heating fans; Electric air heaters; Electrically heated clothing; Electric pocket warmers for warming hands; Bed warmers; Fans [air-conditioning]; Electric fans; Dehumidifiers; Air- conditioning installations; Hair dryers; Air purifiers; Electric shoe dryers for household purposes; Lamps; Cooking utensils, electric; Cooling installations and machines; Heating apparatus; Steam facial apparatus [saunas]; Hydromassage bath apparatus; Disinfectant apparatus. SHENZHEN ULUCKY HEALTH CO.,LTD ; 2705-2706, Building 4, Tian'an Yungu Industrial Park Phase II, Gangtou Community, Bantian Street, Longgang District, Shenzhen, Guangdong, CHINA BU8, No. 11, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor",,"Quality Oracle Sdn. Bhd., L5-07, Level 5, Wisma BU8, No. 11, Lebuh Bandar Utama,  Bandar Utama, 47800 Petaling Jaya, Selangor"
,TM2025013432,28 April 2025,,,"Water filters; Drinking water filters; Devices and systems for water purification comprised of water filters; Water filtering units; Water filtering apparatus; Water filtering installations; Filters for water filtering apparatus; Water purifying apparatus; Water purifying installations; Water filtration and purification apparatus. BF BIONTECH SDN. BHD. ; No. 11, Jalan BA/3, Kawasan Perindustrian Bukit Angkat (2), 43000 Kajang, Selangor, MALAYSIA Bhd. No. 19, Jalan SS1/36, 47300 Petaling Jaya, Selangor AFFOTOM",,"Lok Choon Hong, Pintas Consulting Group Sdn. Bhd. No. 19, Jalan SS1/36, 47300 Petaling Jaya, Selangor"
,TM2025014169,2 May 2025,,,"Lampshades; Motorcycle lights; Automobile lights; Light emitting diode [led] lighting apparatus. No. 1401, Building 11, Tianan Yungu Industrial Park Phase II,Longgang Dist., Shenzhen, Guangdong, 518000, CHINA Property Sdn Bhd, A-39-10, Penthouse, Menara UOA Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000 Kuala Lumpur","SHENZHEN YAFEI ELECTRONIC COMMERCE CO., LTD.;","Mohana Murali A/L Kodivel, Adastra Intellectual Property Sdn Bhd, A-39-10, Penthouse, Menara UOA Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000"
,TM2025014804,8 May 2025,,,No colour claim Toilet bowls; Toilet bowls and seats sold as a unit; Toilet bowls with integrated bidet water jets; Toilet cisterns; Toilet seat lids; Toilet seats; Toilet tanks; Toilets adapted for use by the physically handicapped; Wall-mounted simple toilets; Flush levers for toilets; Flushing apparatus for toilets; Water-saving toilets; Bidets; Taps for bidets; Wall-mounted spouts for bidets; Sanitary installations and apparatus; Urinals being sanitary fixtures; Electric showers; Hand-held showers; Mixer showers; Overhead showers; Power showers; Shower bath installations; Shower cabinets; Shower cubicles; Shower fittings; Shower installations; Shower screens; Shower sprayers [plumbing fittings]; Kitchen sink sprayers; Shower platforms; Water-saving shower heads; Bathroom sinks; Integrated vanity top sinks; Kitchen sinks incorporating integrated worktops; Single-lever faucets for sinks; Sinks; Vanity top sinks; Wall-mounted sinks; Wall-mounted spouts for sinks; Faucets for pipes and pipelines; Faucets*; Mixer faucets for water pipes; Mixing valves for faucets; Water-saving faucets; Cocks for pipes and pipelines; Mixer taps for water pipes; Spigots for pipes and pipelines; Bibcocks; Taps for pipes and pipelines; Taps for wash-hand basins; Water supply installations; Bathtub spouts; Wall-mounted spouts for baths; Wall-mounted spouts for wash-hand basins; Automatic faucets; Faucet aerators; Faucet handles; Water-saving aerators for faucets; Faucet sprayers; Level controlling valves in tanks;,,
,TM2025014926,9 May 2025,,,"Toilet bowls; Toilet bowls and seats sold as a unit; Toilet bowls with integrated bidet water jets; Toilet cisterns; Water-saving toilets; Toilets; Toilet seat lids; Toilet seats; Toilets adapted for use by the physically handicapped; Toilet tanks; Wall-mounted simple toilets; Flushing apparatus for toilets [water- closets]; Flush levers for toilets; Bidets; Taps for bidets; Wall-mounted spouts for bidets; Sanitary installations and apparatus; Urinals being sanitary fixtures; Electric showers; Handheld showers; Mixer showers; Overhead showers; Power showers; Shower bath installations; Shower cabinets; Shower cubicles; Shower fittings; Shower installations; Shower screens; Shower platforms; Shower sprayers [plumbing fittings]; Water-saving showerheads; Wall-mounted spouts for sinks; Wall-mounted sinks; Bathroom sinks; Integrated vanity top sinks; Kitchen sinks; Kitchen sinks incorporating integrated worktops; Kitchen sink sprayers; Single-lever faucets for sinks; Sinks; Vanity top sinks; Faucets*; Faucets for pipes and pipelines; Mixer faucets for water pipes; Mixing valves for faucets; Water-saving faucets; Spigots for pipes and pipelines; Bibcocks; Cocks for pipes and pipelines; Mixer taps for water pipes; Taps for pipes and pipelines; Taps for wash-hand basins; Water supply installations; Bathtub enclosures; Bathtub jets; Bathtubs; Bathtub spouts; Wall-mounted spouts for baths; Wall-mounted spouts for wash-hand basins; Automatic faucets; Level controlling valves in tanks; Shower mixing valves; Shower control valves; Bath fittings; Bath installations; Bath plumbing fixtures; Whirlpool baths; Ball cocks for toilet cisterns; Shower hoses; Whirlpool-jet apparatus; Hand dryers; Spa baths [vessels]; Faucet aerators; Faucet handles; Faucet sprayers; Water-saving aerators for faucets. L T L CORPORATION SDN BHD ; 130, Persiaran Raja Muda Musa, Jalan Teluk Gadong, 41200 Klang, Selangor, MALAYSIA Selangor",,"Young Seow Yen, Yeo & Young, No. 7, Jalan Remia 2/KS6, Bandar Botanic, 41200 Klang,"
,TM2025014991,9 May 2025,,,"Air cleaning apparatus; Air deodorising apparatus; Air freshener dispensing systems; Air purification apparatus; Air purifying apparatus and machines; Air sterilizing apparatus; Deodorising apparatus, not for personal use; Disinfectant apparatus; Dispensing systems for air fresheners; Dispensing systems for room deodorants; Electric air deodorizing apparatus; Electric dispensers for air fresheners; Electric dispensers for room deodorants. LEE SOO PENG ; PT 2922, Kampung Telok, Pengkalan Chepa, 16100 Kota Bharu, Kelantan, MALAYSIA B3, Solaris Dutamas, No. 1, Jalan Dutamas 1, 50480 Kuala Lumpur",,"Yeoh Tung Seng, Yeoh & Joanne; B3-3-13A, Block B3, Solaris Dutamas, No. 1, Jalan Dutamas 1, 50480 Kuala"
,TM2025015386,14 May 2025,,,"Laundry dryers, electric; Lights for vehicles; Kettles, electric; Lamps; Humidifiers; Coffee roasters; Hair dryers; Cooking apparatus and installations; Air fryers; Lighting apparatus and installations; Bath fittings; Multicookers; Electric fans for personal use; String lights for festive decoration; Portable headlamps. SHANGQIU JIASHENG NETWORK TECHNOLOGY CO., LTD. ; Room 1103, Unit 1, Building 31, Xincheng International, 200 meters north of the intersection of Nanjing Road and Shenhuo Avenue, Suiyang District, Shangqiu City, 476000, CHINA PLT; No.1-9-13, Block Chempaka, Taman Desaminium, Jalan Flora, 43300 Seri Kembangan, Selangor",,"Vannesse Lee Pei Eng, Drexworld Management PLT; No.1-9-13, Block Chempaka, Taman Desaminium, Jalan Flora, 43300 Seri Kembangan, Selangor"
,TM2021020717,28 July 2021,,,"representation on the form of application. Registration of this trade mark shall give no right to the exclusive use of the words ‘performance’ and ‘racing’. Automobile wheel rims; bicycle wheel rims; motorcycle wheel rims; rims for automobile wheels; structural parts for automobiles; structural parts for land vehicles; wheel rims for vehicles; wheel rims for two-wheeled vehicles. SSR CONCEPT WHEELS SDN. BHD.; Lot 7794, Kampung Baru Subang, Seksyen U9, 40150 Shah Alam, Selangor, MALAYSIA Taman Equine, 43300 Seri Kembangan, Selangor",,"Yap Chun Sian, No.28, Jalan Putra Permai 9, Taman Equine, 43300 Seri Kembangan, Selangor"
,TM2022004274,17 February 2022,,,"The second, third, fourth and fifth trade marks in the series are limited to the colours as shown in the representation on the form of application. exclusive use of a letter “A” and the word “auto” and “plus” separately. Parts of vehicles (automobiles); Air bags [safety devices for automobiles]; Anti-theft alarms for vehicles; Ashtrays for automobiles; Automobile hoods; Automobile tires; Balance weights for vehicle wheels; Brake discs for vehicles; Brake linings for vehicles; Brake segments for vehicles; Brake pads for automobiles; Brakes for vehicles; Bumpers for automobiles; Caps for vehicle fuel tanks; Cigar lighters for automobiles; Couplings for land vehicles; Doors for vehicles; Head-rests for vehicle seats; Hoods for vehicles; Horns for vehicles; Hub caps; Hubs for vehicle wheels; Hydraulic circuits for vehicles; Pneumatic tires; Rearview mirrors; Rims for vehicle wheels; Reversing alarms for vehicles; Safety belts for vehicle seats; Seat covers for vehicles; Shock absorbers for automobiles; Side view mirrors for vehicles;",Spoilers for vehicles; Sun-blinds adapted for automobiles;,
,TM2024031532,10 October 2024,,,"Axles for vehicles; Automobile bodies; Automobile chassis; Bodies for vehicles; Brake discs for vehicles; Brake linings for vehicles; Brake pads for automobiles; Brake segments for vehicles; Brake shoes for vehicles; Brakes for vehicles; Bumpers for automobiles; Clutches for land vehicles; Couplings for land vehicles; Engine mounts for land vehicles; Mudguards; Propulsion mechanisms for land vehicles; Rearview mirrors; Shock absorbers for automobiles; Shock absorbing springs for vehicles; Side view mirrors for vehicles; Suspension shock absorbers for vehicles; Vehicle bumpers. OEM CONTI-PARTS SDN. BHD. ; NO. 4 & 6, LORONG SS3/59E, 47300 Petaling Jaya, Selangor, MALAYSIA SIMAGIC",,
,TM2025005448,24 February 2025,,,"Brake shoes for vehicles; Steering wheels for vehicles; Vehicle joysticks; Couplings for land vehicles; Articulated transmissions for land vehicles; Front derailleurs; Rear derailleurs; Driverless transport vehicles; Block brakes for land vehicles; Band brakes for land vehicles. SHENZHEN SUMO TECHNOLOGY CO., LTD. ; 302, Bldg.7, ADCC Cultural Creative Park, No. 95, Pingxin North Rd., Pinghu St., Longgang, Shenzhen, CHINA IPeople House, 7A Clove Hall Road, 10050 Georgetown, Pulau Pinang",,"Loh Yen Pheng, Intellect Worldwide Sdn Bhd, IPeople House, 7A Clove Hall Road, 10050 Georgetown,"
,TM2025012514,21 April 2025,,,"Cars; Motorcycles; Bicycles; All terrain vehicles [atv]; Utility task vehicles [utv]. PHELON & MOORE LLC ; 1581 BRICKELL AVE, PH 205 Miami Fl 3312, UNITED STATES OF AMERICA Property Sdn Bhd, A-39-10, Penthouse, Menara UOA Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000 Kuala Lumpur",,"Mohana Murali A/L Kodivel, Adastra Intellectual Property Sdn Bhd, A-39-10, Penthouse, Menara UOA Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000"
,TM2025013867,30 April 2025,,,"Brake pads for automobiles; Brake discs for vehicles; Brake shoes for vehicles; Suspension shock absorbers for vehicles; Shock absorbers for automobiles; Brake segments for vehicles; Brakes for vehicles; Brake linings for vehicles; Reduction gears for land vehicles; Gearing for land vehicles; Brake calipers for vehicles. ZHUHAI GLORY FRICTION MATERIAL CO .,LTD. ; No.6, Longshan 3rd Road, Longshan Industrial Park, Doumen Town, Doumen District, Zhuhai, Guangdong, 519000, CHINA KL Gateway, No. 2, Jalan Kerinchi, 59200 Kuala Lumpur",,"Brenda Lee Wen Yi, D-25-03, Menara Suez Cap 1, KL Gateway, No. 2, Jalan Kerinchi, 59200 Kuala Lumpur"
,TM2025014796,8 May 2025,,,"Locomotives; Remote control vehicles, other than toys; Electric vehicles; Land vehicles; Railway cars; Water vehicles; Cars; Autonomous cars; Robotic cars; Hoods for automobile engines; Automobile bodies; Shock absorbers for automobiles; Sun-blinds adapted for automobiles; Hubs for automobile wheels; Anti-theft devices for automobiles; Bicycles; Push scooters [vehicles]; Motorized tricycles; Electric tricycles; Mopeds; Mobility scooters; Electric bicycles; Self-balancing scooters; Self-balancing boards; Self-balancing electric unicycles; Telpher railways [cable cars]; Two-wheeled trolleys; Tyres for vehicle wheels; Air vehicles; Boats; Suspension shock absorbers for vehicles; Luggage carriers for vehicles; Safety seats for children, for vehicles; Windshield wipers; Seat covers for vehicles; Windscreens; Steering wheels for vehicles; Steering wheels [vehicle parts]; Steering wheels for cars; Side view mirrors for vehicles; Motorcycles; Hubs for vehicle wheels. SAIC GM WULING AUTOMOBILE CO., LTD. ; No.18, Hexi Road, Liunan District, Liuzhou, Guangxi, CHINA 10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur",,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3- 10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur"
,TM2025014793,8 May 2025,,,"Locomotives; Remote control vehicles, other than toys; Electric vehicles; Land vehicles; Railway cars; Water vehicles; Cars; Autonomous cars; Robotic cars; Hoods for automobile engines; Automobile bodies; Shock absorbers for automobiles; Sun-blinds adapted for automobiles; Hubs for automobile wheels; Anti-theft devices for automobiles; Bicycles; Push scooters [vehicles]; Motorized tricycles; Electric tricycles; Mopeds; Mobility scooters; Electric bicycles; Self-balancing scooters; Self-balancing boards; Self-balancing electric unicycles; Telpher railways [cable cars]; Two-wheeled trolleys; Tyres for vehicle wheels; Air vehicles; Boats; Suspension shock absorbers for vehicles; Luggage carriers for vehicles; Safety seats for children, for vehicles; Windshield wipers; Seat covers for vehicles; Windscreens; Steering wheels for vehicles; Steering wheels [vehicle parts]; Steering wheels for cars; Side view mirrors for vehicles; Motorcycles; Hubs for vehicle wheels. SAIC GM WULING AUTOMOBILE CO., LTD. ; No.18, Hexi Road, Liunan District, Liuzhou, Guangxi, CHINA 10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur",,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3- 10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur"
,TM2025014794,8 May 2025,,,"the use of the letters ""ev"". Locomotives; Remote control vehicles, other than toys; Electric vehicles; Land vehicles; Railway cars; Water vehicles; Cars; Autonomous cars; Robotic cars; Hoods for automobile engines; Automobile bodies; Shock absorbers for automobiles; Sun-blinds adapted for automobiles; Hubs for automobile wheels; Anti-theft devices for automobiles; Bicycles; Push scooters [vehicles]; Motorized tricycles; Electric tricycles; Mopeds; Mobility scooters; Electric bicycles; Self-balancing scooters; Self-balancing boards; Self-balancing electric unicycles; Telpher railways [cable cars]; Two-wheeled trolleys; Tyres for vehicle wheels; Air vehicles; Boats; Suspension shock absorbers for vehicles; Luggage carriers for vehicles; Safety seats for children, for vehicles; Windshield wipers; Seat covers for vehicles; Windscreens; Steering wheels for vehicles; Steering wheels [vehicle parts]; Steering wheels for cars; Side view mirrors for vehicles; Motorcycles; Hubs for vehicle wheels. SAIC GM WULING AUTOMOBILE CO., LTD. ; No.18, Hexi Road, Liunan District, Liuzhou, Guangxi, CHINA 10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur",,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3- 10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur"
,TM2025015208,13 May 2025,,,"Land vehicles; Car, motorcycles, scooter, bicycles and their and their auto parts and accessories namely V belt, sprocket, bearing, brake shoe, disc pad, chain. YEW NIENG CHUNG ; 43, Jalan Asa Jaya 15, Taman Asa Jaya, 43000 Kajang, Selangor, MALAYSIA FLIPLOCK",,
,TM2020028985,3 December 2020,,,"Clocks; Watches; Wristwatches; Component parts for clocks and watches; Anchors [clock- and watchmaking]; Pendulums [clock- and watchmaking]; Barrels [clock- and watchmaking]; Chronometric instruments; Chronometers; Chronographs [watches]; Watch bracelets; Watch straps; Watch clasps; Dials [clock- and watchmaking]; Cases for watches and clocks; Presentation boxes for watches; Jewellery boxes; Watch movements; Jewellery; Precious and semi-precious stones; Precious metals and their alloys; Pins [jewellery]. ROLEX SA; Rue François-Dussaud 3-5-7, Geneva, SWITZERLAND 8th Floor, Wisma UOA Damansara 50 Jalan Dungun, Damansara Heights, 50490 Kuala Lumpur",,"Leela Devi A/P Baskaran, Skrine Unit No. 50-8-1, 8th Floor, Wisma UOA Damansara 50 Jalan Dungun, Damansara Heights, 50490 Kuala Lumpur"
